Studio,Time,Classes,Instructor,Sign up,Date,Style
Ailey,18:00:00,Beg Ballet,Yuka Kawazu,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146823669&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
SassClass,18:00:00,Sexy Stilettos,Brynlie (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=668&classDate=8/24/2023&clsLoc=1,2023-08-24,Street/Choreography
ILD NJ,18:00:00,Eta | Newjeans Part 4,MJ Choi,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=38&classId=8194&classDate=8/24/2023&clsLoc=1,2023-08-24,Additional Disciplines
PMT,18:00:00,Adv. Beg. Choreo,Bo Belza,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3394&classDate=8/24/2023&clsLoc=1,2023-08-24,Street/Choreography
PMT,18:00:00,Beg Contemp,Mica Butnar,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3393&classDate=8/24/2023&clsLoc=1,2023-08-24,Contemporary/Modern
BDC,18:00:00,Beg Theater,Ian Klein,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17709&classDate=8/24/2023&clsLoc=1,2023-08-24,Theater
BAE,18:00:00,Int Ballet,Ginger Thatcher,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7876&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
SassClass,18:10:00,Fierce Feminine Hip-Hop,Anya,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=738&classDate=8/24/2023&clsLoc=1,2023-08-24,Street/Choreography
ATDF,18:15:00,Basic,Susan Hebach,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2171&classDate=8/24/2023&clsLoc=1,2023-08-24,Tap
ATDF,18:15:00,Adv Beg,Kaleena Miller (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2172&classDate=8/24/2023&clsLoc=1,2023-08-24,Tap
Mark Morris,18:15:00,Zumba,Bethina Sayegh-Flores,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=30&classId=5051&classDate=8/24/2023&clsLoc=1,2023-08-24,Additional Disciplines
ILD NYC,18:30:00,Kpop Diet Dance,DJ McIver,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=6638&classDate=8/24/2023&clsLoc=1,2023-08-24,Additional Disciplines
Peridance,18:30:00,Open Afrobeats,Djoniba Mouflet,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=65&classId=6209&classDate=8/24/2023&clsLoc=1,2023-08-24,World
ILD Queens,18:30:00,Super Shy | Newjeans Part 4,Winnie Chung,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=8233&classDate=8/24/2023&clsLoc=1,2023-08-24,Additional Disciplines
ILD NYC,18:30:00,In Bloom | Zb1 Part 4,Ness Martinez,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=39&classId=8178&classDate=8/24/2023&clsLoc=1,2023-08-24,Additional Disciplines
Ailey,18:30:00,Zumba Fitness,Diego Chauca,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146823785&classDate=8/24/2023&clsLoc=1,2023-08-24,Additional Disciplines
Ailey,18:30:00,Beg West African,Maguette Camara,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146823691&classDate=8/24/2023&clsLoc=1,2023-08-24,World
Steps,18:30:00,Cardio Dance,"Star, Hito",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087110&classDate=8/24/2023&clsLoc=1,2023-08-24,Additional Disciplines
Ailey,18:30:00,Abs Beg Hip-Hop,Amy Mitchell (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146823811&classDate=8/24/2023&clsLoc=1,2023-08-24,Street/Choreography
PJM,18:30:00,Int Choreo,James Kho,none,2023-08-24,Street/Choreography
Modega,18:30:00,Beg/Adv. Beg. Hip-Hop Choreo,Jillian Roberts,https://sutrapro.com/modega/checkout/crifC071JQSBZI3lxIjI,2023-08-24,Street/Choreography
Steps,18:30:00,Beg Contemp,Bufferd,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085575&classDate=8/24/2023&clsLoc=1,2023-08-24,Contemporary/Modern
Ailey,18:30:00,Beg Horton,Olivier Medus (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146823798&classDate=8/24/2023&clsLoc=1,2023-08-24,Contemporary/Modern
Gibney 280,18:30:00,Int/Adv Beg Ballet,Kat Wildish,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=54&classId=12569&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
Mark Morris,18:30:00,Disco And Funk,*L'ka  (10),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=27&classId=4943&classDate=8/24/2023&clsLoc=1,2023-08-24,Street/Choreography
Mark Morris,18:30:00,Int Ballet,Ashley Tuttle,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=4625&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
Mark Morris,18:45:00,Beg Modern,Chris Heller,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=28&classId=5033&classDate=8/24/2023&clsLoc=1,2023-08-24,Contemporary/Modern
Steps,18:45:00,Beg/Int Ballet,"Crawford, M (5)",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087084&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
Mark Morris,19:00:00,Open Level West African,Nafi *Diabate,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=25&classId=5005&classDate=8/24/2023&clsLoc=1,2023-08-24,World
Ailey,19:00:00,Beg Hip-Hop,TweetBoogie (3),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146823815&classDate=8/24/2023&clsLoc=1,2023-08-24,Street/Choreography
Cumbe,19:00:00,Asa!,Dianne Adkins-Forte,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=4130&classDate=8/24/2023&clsLoc=1,2023-08-24,Additional Disciplines
Ailey,19:00:00,Beg Heels,Cancelled Today,none,2023-08-24,Street/Choreography
BDC,19:00:00,Beg Broadway Tap,Derek Roland,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=17838&classDate=8/24/2023&clsLoc=1,2023-08-24,Theater
Steps,19:00:00,Adv/Beg Tap,Carminucci,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085587&classDate=8/24/2023&clsLoc=1,2023-08-24,Tap
BAE,19:00:00,Basic Beg Ballet,Roni Mahler (9),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=7828&classDate=8/24/2023&clsLoc=1,2023-08-24,Ballet
Brickhouse,19:00:00,Naughty Girl Fitness,Janelle Ginestra,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=116&classId=7814&classDate=8/24/2023&clsLoc=1,2023-08-24,Additional Disciplines
Hive Dance NJ,19:00:00,Beg Hip-Hop Adults 17+,Edson Maldonado (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2206&classDate=8/24/2023&clsLoc=1,2023-08-24,Street/Choreography
Steps,19:00:00,Open Capoeira,da Silva,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147080444&classDate=8/24/2023&clsLoc=1,2023-08-24,World
