Studio,Time,Class,Instructor,Location,Sign up,Date,Style
SassClass,12:45:00,,1 Hour,,None,2024-08-13,Additional Disciplines
SassClass,13:50:00,,1 Hour,,None,2024-08-13,Additional Disciplines
SassClass,14:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
SassClass,15:15:00,,1 Hour,,None,2024-08-13,Additional Disciplines
SassClass,10:50:00,,1 Hour,,None,2024-08-13,Additional Disciplines
SassClass,12:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
SassClass,12:10:00,,1 Hour,,None,2024-08-13,Additional Disciplines
SassClass,13:10:00,,1 Hour,,None,2024-08-13,Additional Disciplines
SassClass,13:20:00,,1 Hour,,None,2024-08-13,Additional Disciplines
SassClass,14:20:00,,1 Hour,,None,2024-08-13,Additional Disciplines
SassClass,14:30:00,,1 Hour,,None,2024-08-13,Additional Disciplines
SassClass,18:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
SassClass,19:15:00,,1 Hour,,None,2024-08-13,Additional Disciplines
SassClass,20:30:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Steps,10:30:00,,Steps On Broadway,In-Studio Rommett Floor Barre,None,2024-08-13,Additional Disciplines
Steps,12:00:00,Open Pilates,1 Hour,,None,2024-08-13,Additional Disciplines
Steps,15:00:00,Pilates Mat,1 Hour,,None,2024-08-13,Additional Disciplines
Steps,19:30:00,,1 Hour,In-Studio Adv/Beg Swing,None,2024-08-13,Additional Disciplines
Steps,10:30:00,,Steps On Broadway,Virtual 90 Rommett Floor Barre,None,2024-08-13,Additional Disciplines
Steps,12:00:00,Virtual 60 Open Pilates,1 Hour,,None,2024-08-13,Additional Disciplines
Steps,15:00:00,Virtual 60 Pilates Mat,1 Hour,,None,2024-08-13,Additional Disciplines
Steps,19:30:00,,1 Hour,Virtual 60 Cardio Dance,None,2024-08-13,Additional Disciplines
Steps,19:30:00,,1 Hour,Virtual 60 Adv/Beg Swing,None,2024-08-13,Additional Disciplines
Taylor School,09:00:00,Slow Flow Vinyasa Yoga,50 Minutes,,None,2024-08-13,Additional Disciplines
Taylor School,09:00:00,,50 Minutes,,None,2024-08-13,Additional Disciplines
Taylor School,09:00:00,Slow Flow Vinyasa Yoga,50 Minutes,,None,2024-08-13,Additional Disciplines
Femmily,18:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Femmily,19:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Femmily,20:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Femmily,17:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Femmily,18:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Femmily,19:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Femmily,19:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Femmily,20:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Femmily,19:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Femmily,20:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Femmily,17:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Femmily,18:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Femmily,18:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Femmily,19:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Femmily,19:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Femmily,20:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Femmily,20:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Femmily,15:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Femmily,16:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Femmily,16:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Femmily,18:00:00,,1 Hour,,None,2024-08-13,Additional Disciplines
Femmily,15:00:00,,2 Hours,,None,2024-08-13,Additional Disciplines
