Studio,Time,Classes,Instructor,Sign up,Date,Style
BAE,14:30:00,Int Ballet,Sean Kelly,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=49&classId=8002&classDate=9/24/2023&clsLoc=1,2023-09-24,Ballet
Steps,14:45:00,Beg Tap,Ponza,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085646&classDate=9/24/2023&clsLoc=1,2023-09-24,Tap
Ailey,15:00:00,Afro'Dance,Angel Kaba,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824585&classDate=9/24/2023&clsLoc=1,2023-09-24,World
Steps,15:00:00,Adv/Beg Contemp Modern,"Reed, B.",https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085642&classDate=9/24/2023&clsLoc=1,2023-09-24,Contemporary/Modern
Ailey,15:00:00,Beg West African,Vado Diomande,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=12&classId=2146824615&classDate=9/24/2023&clsLoc=1,2023-09-24,World
BDC,15:00:00,Beg Contemp,Elodie Dufroux,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18356&classDate=9/24/2023&clsLoc=1,2023-09-24,Contemporary/Modern
Ballet Arts,15:00:00,Adv Beg Ballet,Kenny Larson,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2284&classDate=9/24/2023&clsLoc=1,2023-09-24,Ballet
BDC,15:00:00,Basic Tap,Sheila Pomroy,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18287&classDate=9/24/2023&clsLoc=1,2023-09-24,Tap
Steps,15:00:00,Int Jazz,Kobayashi (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087052&classDate=9/24/2023&clsLoc=1,2023-09-24,Jazz
BDC,15:00:00,Basic Ballet,Deanna Doyle,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18233&classDate=9/24/2023&clsLoc=1,2023-09-24,Ballet
BDC,15:00:00,Adv Beg Jazz Funk,Chio,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18164&classDate=9/24/2023&clsLoc=1,2023-09-24,Street/Choreography
Hive Dance NJ,15:15:00,Adv/Beg Hip Hop Choreo Adults 17+,Sarah Fratesi,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=2235&classDate=9/24/2023&clsLoc=1,2023-09-24,Street/Choreography
Steps,15:30:00,Adv/Int Classic Theater Jazz,Moore,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087305&classDate=9/24/2023&clsLoc=1,2023-09-24,Theater
Modega,15:30:00,Beg Jersey Club,E Skilllz,https://sutrapro.com/modega/checkout/jP30vTyoxVKQyY8qvrIR,2023-09-24,Additional Disciplines
Steps,15:30:00,Beg Flamenco,Korjhan,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087057&classDate=9/24/2023&clsLoc=1,2023-09-24,World
PJM,15:30:00,Vogue Femme Basics,Saki,none,2023-09-24,Street/Choreography
PMT,16:00:00,Beg Ballet,Shauna Sloms,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3532&classDate=9/24/2023&clsLoc=1,2023-09-24,Ballet
Steps,16:15:00,Int/Adv Contemp Jazz,Mia DeWeese,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=89&classId=2147087884&classDate=9/24/2023&clsLoc=1,2023-09-24,Contemporary/Modern
Steps,16:30:00,Int Theater Jazz,Darlington (2),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087348&classDate=9/24/2023&clsLoc=1,2023-09-24,Theater
BDC,16:30:00,Adv Beg Broadway Jazz,Sue Samuels,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18193&classDate=9/24/2023&clsLoc=1,2023-09-24,Theater
Steps,16:30:00,Int Broadway Tap,Brians,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147085647&classDate=9/24/2023&clsLoc=1,2023-09-24,Tap
BDC,16:30:00,Beg Tap,Sheila Pomroy,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18288&classDate=9/24/2023&clsLoc=1,2023-09-24,Tap
BDC,16:30:00,Basic Heels,Courtney Sauls,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18298&classDate=9/24/2023&clsLoc=1,2023-09-24,Street/Choreography
BDC,16:30:00,Basic Hip-Hop,Q,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18186&classDate=9/24/2023&clsLoc=1,2023-09-24,Street/Choreography
Ballet Arts,16:30:00,Missing Link Series,Richard Marsden,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=23&classId=2399&classDate=9/24/2023&clsLoc=1,2023-09-24,Additional Disciplines
BDC,16:30:00,Adv Beg Ballet,Eureka Nakano Grimes,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18347&classDate=9/24/2023&clsLoc=1,2023-09-24,Ballet
Steps,17:00:00,Absolute Beg Swing,McDaniel,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087819&classDate=9/24/2023&clsLoc=1,2023-09-24,Additional Disciplines
Steps,17:00:00,Int/Adv Jazz,O'Neal,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=80&classId=2147087889&classDate=9/24/2023&clsLoc=1,2023-09-24,Jazz
PMT,17:30:00,Adv. Beg. Hip Hop,Devynn Brooks,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3414&classDate=9/24/2023&clsLoc=1,2023-09-24,Street/Choreography
BDC,18:00:00,Int Adv Tap,Dario Natarelli,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18341&classDate=9/24/2023&clsLoc=1,2023-09-24,Tap
BDC,18:00:00,Int Adv Jazz Technique,Harry Francis,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18462&classDate=9/24/2023&clsLoc=1,2023-09-24,Jazz
BDC,18:00:00,Adv Beg Contemp,Dexter Da Rocha (1),https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18253&classDate=9/24/2023&clsLoc=1,2023-09-24,Contemporary/Modern
BDC,18:00:00,Int Latin Fusion,Jhesus Aponte,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18465&classDate=9/24/2023&clsLoc=1,2023-09-24,Street/Choreography
BDC,18:00:00,All Levels Tutting,Billy Cohen,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=22&classId=18129&classDate=9/24/2023&clsLoc=1,2023-09-24,Street/Choreography
ILD Queens,18:00:00,Kpop Diet Dance,DJ McIver,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=37&classId=7138&classDate=9/24/2023&clsLoc=1,2023-09-24,Additional Disciplines
Modega,18:30:00,Adv. Beg/Int.Choreo,Jason Diaz,https://sutrapro.com/modega/checkout/JTYNZe7jAnZWYw38CHVH,2023-09-24,Street/Choreography
PMT,19:15:00,Adv. Beg. Hip Hop Choreo,Shoshanna Babitt,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=59&classId=3415&classDate=9/24/2023&clsLoc=1,2023-09-24,Street/Choreography
Brickhouse,20:00:00,Adult Beg Hip Hop,Summer Dion,https://clients.mindbodyonline.com/ASP/res_a.asp?tg=113&classId=7876&classDate=9/24/2023&clsLoc=1,2023-09-24,Street/Choreography
